#SampleID	IDstring	Country	Region	Age	Mbases	total_reads	human_perc	seqs	microbiome_seqs	KEGG_mapped	KEGG_mapped_perc	V4_16s_sequenced
371	371	USA	STL	1,02	43,09188	165738	0,1	165559	43,04534	46523,15	28,1006468992927	No
Amz10baby	Amz10baby	Venezuela	Platanillal	0,5	47,916306	120104	0,1	120014	47,885586	63073,908	52,5554585298382	Yes
Amz1baby	Amz1baby	Venezuela	Platanillal	0,25	31,6	105314	81,3	19681	5,11706	6662,901	33,8544840201209	Yes
Amz1teenF	Amz1teenF	Venezuela	Platanillal	15	9,505218	23374	0,1	23342	9,500194	10319,5	44,2100077114215	Yes
Amz2adltF	Amz2adltF	Venezuela	Platanillal	35	44,65411	113735	0,7	112929	44,381097	43787,901	38,7747177430067	Yes
Amz2infF	Amz2infF	Venezuela	Platanillal	1	38,508167	94612	0,1	94521	38,470047	50925,398	53,8773373112853	Yes
Amz4chldM1	Amz4chldM1	Venezuela	Platanillal	5	90,400968	220083	0,3	219458	90,197238	73359,532	33,4275952574069	Yes
Amz4chldM2	Amz4chldM2	Venezuela	Platanillal	6	25,106552	63839	0,1	63788	25,068684	23230,333	36,4180300369976	Yes
Amz5chldF1	Amz5chldF1	Venezuela	Platanillal	9	55,184133	137357	0	137296	55,055696	64574,761	47,0332427747349	Yes
Amz5chldF2	Amz5chldF2	Venezuela	Platanillal	11	23,547433	59107	0,1	59051	23,502298	21916	37,1136813940492	Yes
Amz5teenF	Amz5teenF	Venezuela	Platanillal	18	46,525872	124110	0,1	123930	46,47375	44825	36,1696118776729	Yes
Amz7adltF	Amz7adltF	Venezuela	Platanillal	29	95,889426	261971	0,3	261121	95,570286	80439,733	30,8055395774373	Yes
Amz7eldM	Amz7eldM	Venezuela	Platanillal	53	33,580718	96561	0,1	96450	33,5646	34170,633	35,4283390357698	Yes
Amz9baby	Amz9baby	Venezuela	Platanillal	0,42	51,898388	165327	0,1	165244	51,886616	91979,354	55,6627496308489	Yes
AmzC14infF	AmzC14infF	Venezuela	Coromoto	0,917	37,304552	110696	0,1	110625	37,280625	42834,666	38,7206020338983	Yes
AmzC15infF	AmzC15infF	Venezuela	Coromoto	0,75	56,516332	163342	0,3	162823	56,336758	73078,566	44,8822132008377	Yes
AmzC1babyF2	AmzC1babyF2	Venezuela	Coromoto	0,417	47,68563	136451	0,1	136378	47,595922	61651,15	45,2060816260687	Yes
AmzC2babyF	AmzC2babyF	Venezuela	Coromoto	0,417	58,611268	176437	0,1	176323	58,715559	96079,848	54,4908196888665	Yes
